"method","setting","regime","rep","hits","fp"
"binseg","change_in = ""meanvar""","heavy",5,2,1
"binseg","change_in = ""meanvar""","heavy",6,2,0
"binseg","change_in = ""meanvar""","heavy",7,2,1
"binseg","change_in = ""meanvar""","heavy",8,2,0
"binseg","change_in = ""meanvar""","heavy",9,2,2
"binseg","change_in = ""meanvar""","heavy",10,2,0
"binseg","change_in = ""meanvar""","ar1",1,1,3
"binseg","change_in = ""meanvar""","ar1",2,2,0
"binseg","change_in = ""meanvar""","ar1",3,2,1
"binseg","change_in = ""meanvar""","ar1",4,2,1
"binseg","change_in = ""meanvar""","ar1",5,2,0
"binseg","change_in = ""meanvar""","ar1",6,2,3
"binseg","change_in = ""meanvar""","ar1",7,2,0
"binseg","change_in = ""meanvar""","ar1",8,2,2
"binseg","change_in = ""meanvar""","ar1",9,1,2
"binseg","change_in = ""meanvar""","ar1",10,1,1
"binseg","change_in = ""meanvar""","hetero",1,2,0
"binseg","change_in = ""meanvar""","hetero",2,2,0
"binseg","change_in = ""meanvar""","hetero",3,2,0
"binseg","change_in = ""meanvar""","hetero",4,2,0
"binseg","change_in = ""meanvar""","hetero",5,2,0
"binseg","change_in = ""meanvar""","hetero",6,2,0
"binseg","change_in = ""meanvar""","hetero",7,2,0
"binseg","change_in = ""meanvar""","hetero",8,2,0
"binseg","change_in = ""meanvar""","hetero",9,2,0
"binseg","change_in = ""meanvar""","hetero",10,2,0
"segneigh","default","iid",1,2,1
"segneigh","default","iid",2,2,0
"segneigh","default","iid",3,2,0
"segneigh","default","iid",4,2,0
"segneigh","default","iid",5,2,0
"segneigh","default","iid",6,2,0
"segneigh","default","iid",7,2,0
"segneigh","default","iid",8,2,0
"segneigh","default","iid",9,2,0
"segneigh","default","iid",10,2,2
"segneigh","default","heavy",1,2,2
"segneigh","default","heavy",2,2,2
"segneigh","default","heavy",3,2,2
"segneigh","default","heavy",4,2,2
"segneigh","default","heavy",5,2,2
"segneigh","default","heavy",6,2,0
"segneigh","default","heavy",7,2,2
"segneigh","default","heavy",8,2,2
"segneigh","default","heavy",9,2,2
"segneigh","default","heavy",10,2,2
"segneigh","default","ar1",1,1,3
"segneigh","default","ar1",2,2,2
"segneigh","default","ar1",3,2,2
"segneigh","default","ar1",4,2,0
"segneigh","default","ar1",5,2,2
"segneigh","default","ar1",6,2,2
"segneigh","default","ar1",7,2,2
"segneigh","default","ar1",8,2,2
"segneigh","default","ar1",9,1,3
"segneigh","default","ar1",10,1,3
"segneigh","default","hetero",1,2,2
"segneigh","default","hetero",2,2,2
"segneigh","default","hetero",3,2,0
"segneigh","default","hetero",4,2,2
"segneigh","default","hetero",5,2,1
"segneigh","default","hetero",6,2,2
"segneigh","default","hetero",7,2,1
"segneigh","default","hetero",8,2,2
"segneigh","default","hetero",9,2,2
"segneigh","default","hetero",10,2,2
"amoc","default","iid",1,1,0
"amoc","default","iid",2,1,0
"amoc","default","iid",3,1,0
"amoc","default","iid",4,1,0
"amoc","default","iid",5,1,0
"amoc","default","iid",6,1,0
"amoc","default","iid",7,0,1
"amoc","default","iid",8,1,0
"amoc","default","iid",9,1,0
"amoc","default","iid",10,1,0
"amoc","default","heavy",1,1,0
"amoc","default","heavy",2,1,0
"amoc","default","heavy",3,1,0
"amoc","default","heavy",4,1,0
"amoc","default","heavy",5,1,0
"amoc","default","heavy",6,1,0
"amoc","default","heavy",7,1,0
"amoc","default","heavy",8,1,0
"amoc","default","heavy",9,1,0
"amoc","default","heavy",10,1,0
"amoc","default","ar1",1,0,1
"amoc","default","ar1",2,1,0
"amoc","default","ar1",3,1,0
"amoc","default","ar1",4,1,0
"amoc","default","ar1",5,1,0
"amoc","default","ar1",6,0,1
"amoc","default","ar1",7,1,0
"amoc","default","ar1",8,1,0
"amoc","default","ar1",9,0,1
"amoc","default","ar1",10,0,1
"amoc","default","hetero",1,1,0
"amoc","default","hetero",2,1,0
"amoc","default","hetero",3,1,0
"amoc","default","hetero",4,1,0
"amoc","default","hetero",5,1,0
"amoc","default","hetero",6,0,1
"amoc","default","hetero",7,1,0
"amoc","default","hetero",8,1,0
"amoc","default","hetero",9,1,0
"amoc","default","hetero",10,1,0
"np","default","iid",1,2,1
"np","default","iid",2,2,0
"np","default","iid",3,2,0
"np","default","iid",4,2,0
"np","default","iid",5,2,0
"np","default","iid",6,2,1
"np","default","iid",7,2,0
"np","default","iid",8,2,0
"np","default","iid",9,2,0
"np","default","iid",10,2,0
"np","default","heavy",1,2,2
"np","default","heavy",2,2,0
"np","default","heavy",3,2,1
"np","default","heavy",4,2,0
"np","default","heavy",5,2,0
"np","default","heavy",6,2,0
"np","default","heavy",7,2,0
"np","default","heavy",8,2,0
"np","default","heavy",9,2,0
"np","default","heavy",10,2,0
"np","default","ar1",1,1,3
"np","default","ar1",2,2,8
"np","default","ar1",3,2,7
"np","default","ar1",4,2,1
"np","default","ar1",5,2,4
"np","default","ar1",6,2,9
"np","default","ar1",7,2,8
"np","default","ar1",8,2,7
"np","default","ar1",9,1,9
"np","default","ar1",10,2,9
"np","default","hetero",1,2,3
"np","default","hetero",2,2,0
"np","default","hetero",3,2,0
"np","default","hetero",4,2,0
"np","default","hetero",5,2,0
"np","default","hetero",6,2,3
"np","default","hetero",7,2,0
"np","default","hetero",8,2,0
"np","default","hetero",9,2,0
"np","default","hetero",10,2,0
"ecp","default","iid",1,2,1
"ecp","default","iid",2,2,0
"ecp","default","iid",3,2,0
"ecp","default","iid",4,2,0
"ecp","default","iid",5,2,0
"ecp","default","iid",6,2,1
"ecp","default","iid",7,2,0
"ecp","default","iid",8,2,1
"ecp","default","iid",9,2,0
"ecp","default","iid",10,2,0
"ecp","default","heavy",1,2,0
"ecp","default","heavy",2,2,0
"ecp","default","heavy",3,2,0
"ecp","default","heavy",4,2,0
"ecp","default","heavy",5,2,0
"ecp","default","heavy",6,2,0
"ecp","default","heavy",7,2,0
"ecp","default","heavy",8,2,0
"ecp","default","heavy",9,2,0
"ecp","default","heavy",10,2,0
"ecp","default","ar1",1,2,7
"ecp","default","ar1",2,2,12
"ecp","default","ar1",3,2,13
"ecp","default","ar1",4,2,8
"ecp","default","ar1",5,2,7
"ecp","default","ar1",6,2,10
"ecp","default","ar1",7,2,9
"ecp","default","ar1",8,2,10
"ecp","default","ar1",9,1,19
"ecp","default","ar1",10,2,15
"ecp","default","hetero",1,2,0
"ecp","default","hetero",2,2,0
"ecp","default","hetero",3,2,0
"ecp","default","hetero",4,2,0
"ecp","default","hetero",5,2,0
"ecp","default","hetero",6,2,2
"ecp","default","hetero",7,2,0
"ecp","default","hetero",8,2,0
"ecp","default","hetero",9,2,0
"ecp","default","hetero",10,2,0
"fpop","default","iid",1,2,0
"fpop","default","iid",2,2,0
"fpop","default","iid",3,2,0
"fpop","default","iid",4,2,0
"fpop","default","iid",5,2,0
"fpop","default","iid",6,2,0
"fpop","default","iid",7,2,0
"fpop","default","iid",8,2,0
"fpop","default","iid",9,2,0
"fpop","default","iid",10,2,0
"fpop","default","heavy",1,2,0
"fpop","default","heavy",2,2,2
"fpop","default","heavy",3,2,2
"fpop","default","heavy",4,2,0
"fpop","default","heavy",5,2,2
"fpop","default","heavy",6,2,0
"fpop","default","heavy",7,2,0
"fpop","default","heavy",8,2,0
"fpop","default","heavy",9,2,4
"fpop","default","heavy",10,2,0
"fpop","default","ar1",1,1,3
"fpop","default","ar1",2,2,0
"fpop","default","ar1",3,2,2
"fpop","default","ar1",4,2,0
"fpop","default","ar1",5,2,0
"fpop","default","ar1",6,2,4
"fpop","default","ar1",7,2,0
"fpop","default","ar1",8,2,2
"fpop","default","ar1",9,1,1
"fpop","default","ar1",10,1,2
"fpop","default","hetero",1,2,7
"fpop","default","hetero",2,2,8
"fpop","default","hetero",3,2,7
"fpop","default","hetero",4,2,5
"fpop","default","hetero",5,2,2
"fpop","default","hetero",6,2,5
"fpop","default","hetero",7,2,0
"fpop","default","hetero",8,2,12
"fpop","default","hetero",9,2,11
"fpop","default","hetero",10,2,9
"wbs","default","iid",1,2,1
"wbs","default","iid",2,2,0
"wbs","default","iid",3,2,0
"wbs","default","iid",4,2,0
"wbs","default","iid",5,2,0
"wbs","default","iid",6,2,0
"wbs","default","iid",7,2,2
"wbs","default","iid",8,2,0
"wbs","default","iid",9,2,0
"wbs","default","iid",10,2,2
"wbs","default","heavy",1,2,4
"wbs","default","heavy",2,2,2
"wbs","default","heavy",3,2,6
"wbs","default","heavy",4,2,4
"wbs","default","heavy",5,2,7
"wbs","default","heavy",6,2,0
"wbs","default","heavy",7,2,10
"wbs","default","heavy",8,2,13
"wbs","default","heavy",9,2,8
"wbs","default","heavy",10,2,2
"wbs","default","ar1",1,2,9
