"method","setting","regime","rep","hits","fp"
"bcp","default","iid",1,2,0
"bcp","default","iid",2,1,0
"bcp","default","iid",3,1,0
"bcp","default","iid",4,2,0
"bcp","default","iid",5,2,0
"bcp","default","iid",6,1,0
"bcp","default","iid",7,2,0
"bcp","default","iid",8,1,0
"bcp","default","iid",9,1,0
"bcp","default","iid",10,0,1
"bcp","default","heavy",1,2,6
"bcp","default","heavy",2,2,2
"bcp","default","heavy",3,1,8
"bcp","default","heavy",4,2,2
"bcp","default","heavy",5,2,7
"bcp","default","heavy",6,1,0
"bcp","default","heavy",7,2,10
"bcp","default","heavy",8,2,13
"bcp","default","heavy",9,1,14
"bcp","default","heavy",10,2,2
"bcp","default","ar1",1,2,11
"bcp","default","ar1",2,2,20
"bcp","default","ar1",3,2,25
"bcp","default","ar1",4,2,10
"bcp","default","ar1",5,2,17
"bcp","default","ar1",6,2,8
"bcp","default","ar1",7,2,12
"bcp","default","ar1",8,2,7
"bcp","default","ar1",9,1,21
"bcp","default","ar1",10,2,16
"bcp","default","hetero",1,2,31
"bcp","default","hetero",2,2,47
"bcp","default","hetero",3,1,10
"bcp","default","hetero",4,1,10
"bcp","default","hetero",5,2,42
"bcp","default","hetero",6,2,29
"bcp","default","hetero",7,2,38
"bcp","default","hetero",8,2,30
"bcp","default","hetero",9,1,35
"bcp","default","hetero",10,2,33
"bocpd","default","iid",1,2,0
"bocpd","default","iid",2,2,0
"bocpd","default","iid",3,2,0
"bocpd","default","iid",4,2,0
"bocpd","default","iid",5,2,0
"bocpd","default","iid",6,2,0
"bocpd","default","iid",7,2,0
"bocpd","default","iid",8,2,0
"bocpd","default","iid",9,2,0
"bocpd","default","iid",10,2,0
"bocpd","default","heavy",1,2,1
"bocpd","default","heavy",2,2,2
"bocpd","default","heavy",3,2,1
"bocpd","default","heavy",4,2,0
"bocpd","default","heavy",5,2,1
"bocpd","default","heavy",6,2,0
"bocpd","default","heavy",7,2,2
"bocpd","default","heavy",8,2,1
"bocpd","default","heavy",9,2,2
"bocpd","default","heavy",10,2,0
"bocpd","default","ar1",1,1,3
"bocpd","default","ar1",2,2,0
"bocpd","default","ar1",3,2,1
"bocpd","default","ar1",4,2,1
"bocpd","default","ar1",5,2,0
"bocpd","default","ar1",6,2,5
"bocpd","default","ar1",7,2,2
"bocpd","default","ar1",8,2,2
"bocpd","default","ar1",9,1,2
"bocpd","default","ar1",10,2,3
"bocpd","default","hetero",1,2,0
"bocpd","default","hetero",2,2,0
"bocpd","default","hetero",3,2,0
"bocpd","default","hetero",4,2,0
"bocpd","default","hetero",5,2,0
"bocpd","default","hetero",6,2,0
"bocpd","default","hetero",7,2,0
"bocpd","default","hetero",8,2,0
"bocpd","default","hetero",9,2,0
"bocpd","default","hetero",10,2,0
"beast","default","iid",1,2,0
"beast","default","iid",2,2,0
"beast","default","iid",3,2,0
"beast","default","iid",4,2,0
"beast","default","iid",5,2,0
"beast","default","iid",6,2,0
"beast","default","iid",7,2,1
"beast","default","iid",8,2,1
"beast","default","iid",9,2,0
"beast","default","iid",10,1,1
"beast","default","heavy",1,2,0
"beast","default","heavy",2,2,0
"beast","default","heavy",3,2,1
"beast","default","heavy",4,2,0
"beast","default","heavy",5,2,0
"beast","default","heavy",6,2,0
"beast","default","heavy",7,2,0
"beast","default","heavy",8,2,0
"beast","default","heavy",9,2,2
"beast","default","heavy",10,2,0
"beast","default","ar1",1,2,5
"beast","default","ar1",2,2,7
"beast","default","ar1",3,2,6
"beast","default","ar1",4,2,4
"beast","default","ar1",5,2,5
"beast","default","ar1",6,2,7
"beast","default","ar1",7,2,6
"beast","default","ar1",8,2,7
"beast","default","ar1",9,1,7
"beast","default","ar1",10,2,6
"beast","default","hetero",1,2,2
"beast","default","hetero",2,2,1
"beast","default","hetero",3,2,4
"beast","default","hetero",4,2,5
"beast","default","hetero",5,2,2
"beast","default","hetero",6,2,4
"beast","default","hetero",7,2,0
"beast","default","hetero",8,2,1
"beast","default","hetero",9,2,5
"beast","default","hetero",10,1,3
"cpm","default","iid",1,2,1
"cpm","default","iid",2,2,0
"cpm","default","iid",3,2,0
"cpm","default","iid",4,2,0
"cpm","default","iid",5,2,0
"cpm","default","iid",6,2,1
"cpm","default","iid",7,2,1
"cpm","default","iid",8,2,1
"cpm","default","iid",9,2,0
"cpm","default","iid",10,2,1
"cpm","default","heavy",1,2,0
"cpm","default","heavy",2,2,0
"cpm","default","heavy",3,2,0
"cpm","default","heavy",4,2,0
"cpm","default","heavy",5,2,0
"cpm","default","heavy",6,2,1
"cpm","default","heavy",7,2,0
"cpm","default","heavy",8,2,0
"cpm","default","heavy",9,2,0
"cpm","default","heavy",10,2,0
"cpm","default","ar1",1,2,9
"cpm","default","ar1",2,2,7
"cpm","default","ar1",3,2,10
"cpm","default","ar1",4,2,8
"cpm","default","ar1",5,2,10
"cpm","default","ar1",6,2,11
"cpm","default","ar1",7,2,7
"cpm","default","ar1",8,2,8
"cpm","default","ar1",9,1,13
"cpm","default","ar1",10,2,10
"cpm","default","hetero",1,2,1
"cpm","default","hetero",2,2,0
"cpm","default","hetero",3,2,0
"cpm","default","hetero",4,2,0
"cpm","default","hetero",5,2,0
"cpm","default","hetero",6,2,1
"cpm","default","hetero",7,2,0
"cpm","default","hetero",8,2,1
"cpm","default","hetero",9,2,0
"cpm","default","hetero",10,2,1
"cpm","cpm_type = ""Student""","iid",1,2,1
"cpm","cpm_type = ""Student""","iid",2,2,0
"cpm","cpm_type = ""Student""","iid",3,2,0
"cpm","cpm_type = ""Student""","iid",4,2,0
"cpm","cpm_type = ""Student""","iid",5,2,0
"cpm","cpm_type = ""Student""","iid",6,2,2
"cpm","cpm_type = ""Student""","iid",7,2,1
"cpm","cpm_type = ""Student""","iid",8,2,1
"cpm","cpm_type = ""Student""","iid",9,2,0
"cpm","cpm_type = ""Student""","iid",10,2,0
"cpm","cpm_type = ""Student""","heavy",1,2,2
"cpm","cpm_type = ""Student""","heavy",2,2,1
"cpm","cpm_type = ""Student""","heavy",3,2,1
"cpm","cpm_type = ""Student""","heavy",4,2,1
"cpm","cpm_type = ""Student""","heavy",5,2,2
"cpm","cpm_type = ""Student""","heavy",6,2,0
"cpm","cpm_type = ""Student""","heavy",7,2,3
"cpm","cpm_type = ""Student""","heavy",8,2,1
"cpm","cpm_type = ""Student""","heavy",9,2,2
"cpm","cpm_type = ""Student""","heavy",10,2,3
"cpm","cpm_type = ""Student""","ar1",1,2,10
"cpm","cpm_type = ""Student""","ar1",2,2,9
"cpm","cpm_type = ""Student""","ar1",3,2,11
"cpm","cpm_type = ""Student""","ar1",4,2,7
"cpm","cpm_type = ""Student""","ar1",5,2,9
"cpm","cpm_type = ""Student""","ar1",6,2,11
"cpm","cpm_type = ""Student""","ar1",7,2,8
"cpm","cpm_type = ""Student""","ar1",8,2,8
"cpm","cpm_type = ""Student""","ar1",9,1,13
"cpm","cpm_type = ""Student""","ar1",10,2,14
"cpm","cpm_type = ""Student""","hetero",1,2,1
"cpm","cpm_type = ""Student""","hetero",2,2,0
"cpm","cpm_type = ""Student""","hetero",3,2,0
"cpm","cpm_type = ""Student""","hetero",4,2,0
"cpm","cpm_type = ""Student""","hetero",5,2,0
"cpm","cpm_type = ""Student""","hetero",6,2,2
"cpm","cpm_type = ""Student""","hetero",7,2,1
"cpm","cpm_type = ""Student""","hetero",8,2,1
"cpm","cpm_type = ""Student""","hetero",9,2,0
"cpm","cpm_type = ""Student""","hetero",10,2,1
"kcp","default","iid",1,2,0
"kcp","default","iid",2,2,0
"kcp","default","iid",3,2,0
"kcp","default","iid",4,2,0
"kcp","default","iid",5,2,0
"kcp","default","iid",6,2,0
"kcp","default","iid",7,2,0
"kcp","default","iid",8,2,0
"kcp","default","iid",9,2,0
"kcp","default","iid",10,2,0
"kcp","default","heavy",1,2,0
"kcp","default","heavy",2,2,0
"kcp","default","heavy",3,2,0
"kcp","default","heavy",4,2,0
"kcp","default","heavy",5,2,0
"kcp","default","heavy",6,2,0
"kcp","default","heavy",7,2,0
"kcp","default","heavy",8,2,0
"kcp","default","heavy",9,2,0
"kcp","default","heavy",10,2,0
"kcp","default","ar1",1,2,1
"kcp","default","ar1",2,2,0
"kcp","default","ar1",3,1,1
"kcp","default","ar1",4,2,0
"kcp","default","ar1",5,2,0
"kcp","default","ar1",6,2,1
"kcp","default","ar1",7,2,0
"kcp","default","ar1",8,2,0
"kcp","default","ar1",9,2,0
"kcp","default","ar1",10,2,0
"kcp","default","hetero",1,2,0
"kcp","default","hetero",2,2,0
"kcp","default","hetero",3,2,0
"kcp","default","hetero",4,2,0
"kcp","default","hetero",5,2,0
"kcp","default","hetero",6,2,0
"kcp","default","hetero",7,2,0
"kcp","default","hetero",8,2,0
"kcp","default","hetero",9,2,0
"kcp","default","hetero",10,2,0
"decafs","default","iid",1,1,0
"decafs","default","iid",2,0,0
"decafs","default","iid",3,0,0
"decafs","default","iid",4,0,0
"decafs","default","iid",5,0,0
"decafs","default","iid",6,0,0
"decafs","default","iid",7,0,0
"decafs","default","iid",8,0,0
"decafs","default","iid",9,0,0
"decafs","default","iid",10,0,0
"decafs","default","heavy",1,2,2
"decafs","default","heavy",2,1,2
"decafs","default","heavy",3,1,2
"decafs","default","heavy",4,2,2
"decafs","default","heavy",5,2,6
"decafs","default","heavy",6,1,0
"decafs","default","heavy",7,2,4
"decafs","default","heavy",8,2,2
"decafs","default","heavy",9,2,6
"decafs","default","heavy",10,1,0
"decafs","default","ar1",1,1,1
"decafs","default","ar1",2,0,0
"decafs","default","ar1",3,1,1
"decafs","default","ar1",4,2,0
"decafs","default","ar1",5,0,0
"decafs","default","ar1",6,0,0
"decafs","default","ar1",7,0,0
"decafs","default","ar1",8,0,0
"decafs","default","ar1",9,1,1
"decafs","default","ar1",10,0,0
"decafs","default","hetero",1,2,7
"decafs","default","hetero",2,1,13
"decafs","default","hetero",3,1,0
"decafs","default","hetero",4,1,6
"decafs","default","hetero",5,1,6
"decafs","default","hetero",6,1,5
"decafs","default","hetero",7,1,3
"decafs","default","hetero",8,0,8
"decafs","default","hetero",9,0,7
"decafs","default","hetero",10,1,9
"sn","default","iid",1,2,0
"sn","default","iid",2,2,0
"sn","default","iid",3,2,0
"sn","default","iid",4,2,0
"sn","default","iid",5,2,0
"sn","default","iid",6,2,0
"sn","default","iid",7,2,0
"sn","default","iid",8,2,1
"sn","default","iid",9,2,0
"sn","default","iid",10,2,0
"sn","default","heavy",1,2,1
"sn","default","heavy",2,2,0
"sn","default","heavy",3,2,0
"sn","default","heavy",4,2,0
"sn","default","heavy",5,2,0
"sn","default","heavy",6,2,0
"sn","default","heavy",7,2,0
"sn","default","heavy",8,2,0
"sn","default","heavy",9,2,0
"sn","default","heavy",10,2,0
"sn","default","ar1",1,1,2
"sn","default","ar1",2,1,2
"sn","default","ar1",3,1,2
"sn","default","ar1",4,2,1
"sn","default","ar1",5,2,0
"sn","default","ar1",6,2,0
"sn","default","ar1",7,2,0
"sn","default","ar1",8,2,0
"sn","default","ar1",9,1,2
"sn","default","ar1",10,1,3
"sn","default","hetero",1,2,0
"sn","default","hetero",2,2,0
"sn","default","hetero",3,2,0
"sn","default","hetero",4,2,0
"sn","default","hetero",5,2,0
"sn","default","hetero",6,2,0
"sn","default","hetero",7,2,0
"sn","default","hetero",8,2,1
"sn","default","hetero",9,2,0
"sn","default","hetero",10,2,0
"strucchange","default","iid",1,2,0
"strucchange","default","iid",2,2,0
"strucchange","default","iid",3,2,0
"strucchange","default","iid",4,2,0
"strucchange","default","iid",5,2,0
"strucchange","default","iid",6,2,0
"strucchange","default","iid",7,2,0
"strucchange","default","iid",8,2,0
"strucchange","default","iid",9,2,0
"strucchange","default","iid",10,2,0
"strucchange","default","heavy",1,2,0
"strucchange","default","heavy",2,2,0
"strucchange","default","heavy",3,2,0
"strucchange","default","heavy",4,2,0
"strucchange","default","heavy",5,2,0
"strucchange","default","heavy",6,2,0
"strucchange","default","heavy",7,2,0
"strucchange","default","heavy",8,2,0
"strucchange","default","heavy",9,2,0
"strucchange","default","heavy",10,2,0
"strucchange","default","ar1",1,1,2
"strucchange","default","ar1",2,2,1
"strucchange","default","ar1",3,2,1
"strucchange","default","ar1",4,2,0
"strucchange","default","ar1",5,2,1
"strucchange","default","ar1",6,2,2
"strucchange","default","ar1",7,1,2
"strucchange","default","ar1",8,2,0
"strucchange","default","ar1",9,1,1
"strucchange","default","ar1",10,1,2
"strucchange","default","hetero",1,2,0
"strucchange","default","hetero",2,2,0
"strucchange","default","hetero",3,2,0
"strucchange","default","hetero",4,2,0
"strucchange","default","hetero",5,2,0
"strucchange","default","hetero",6,2,0
"strucchange","default","hetero",7,2,0
"strucchange","default","hetero",8,2,0
"strucchange","default","hetero",9,2,0
"strucchange","default","hetero",10,2,0
"segmented","default","iid",1,0,1
"segmented","default","iid",2,0,1
"segmented","default","iid",3,0,1
"segmented","default","iid",4,0,1
"segmented","default","iid",5,0,1
"segmented","default","iid",6,0,1
"segmented","default","iid",7,0,1
"segmented","default","iid",8,0,1
"segmented","default","iid",9,0,1
"segmented","default","iid",10,0,1
"segmented","default","heavy",1,0,1
"segmented","default","heavy",2,0,1
"segmented","default","heavy",3,0,1
"segmented","default","heavy",4,0,1
"segmented","default","heavy",5,0,1
"segmented","default","heavy",6,0,1
"segmented","default","heavy",7,0,1
"segmented","default","heavy",8,0,1
"segmented","default","heavy",9,0,1
"segmented","default","heavy",10,0,1
"segmented","default","ar1",1,0,1
"segmented","default","ar1",2,0,1
"segmented","default","ar1",3,0,1
"segmented","default","ar1",4,0,1
"segmented","default","ar1",5,0,1
"segmented","default","ar1",6,0,1
"segmented","default","ar1",7,0,1
"segmented","default","ar1",8,0,1
"segmented","default","ar1",9,0,1
"segmented","default","ar1",10,0,1
"segmented","default","hetero",1,0,1
"segmented","default","hetero",2,0,1
"segmented","default","hetero",3,0,1
"segmented","default","hetero",4,0,1
"segmented","default","hetero",5,0,1
"segmented","default","hetero",6,0,1
"segmented","default","hetero",7,0,1
"segmented","default","hetero",8,0,1
"segmented","default","hetero",9,0,1
"segmented","default","hetero",10,0,1
"envcpt","default","iid",1,2,0
"envcpt","default","iid",2,2,0
"envcpt","default","iid",3,2,0
"envcpt","default","iid",4,2,0
"envcpt","default","iid",5,2,0
"envcpt","default","iid",6,2,0
"envcpt","default","iid",7,2,0
"envcpt","default","iid",8,2,0
"envcpt","default","iid",9,2,0
"envcpt","default","iid",10,2,0
"envcpt","default","heavy",1,2,1
"envcpt","default","heavy",2,2,1
"envcpt","default","heavy",3,2,1
"envcpt","default","heavy",4,2,0
"envcpt","default","heavy",5,2,1
"envcpt","default","heavy",6,2,0
"envcpt","default","heavy",7,2,1
"envcpt","default","heavy",8,2,0
"envcpt","default","heavy",9,2,2
"envcpt","default","heavy",10,2,0
"envcpt","default","ar1",1,2,4
"envcpt","default","ar1",2,0,0
"envcpt","default","ar1",3,0,0
"envcpt","default","ar1",4,1,0
"envcpt","default","ar1",5,0,0
"envcpt","default","ar1",6,0,0
"envcpt","default","ar1",7,1,0
"envcpt","default","ar1",8,0,0
"envcpt","default","ar1",9,0,0
"envcpt","default","ar1",10,0,0
"envcpt","default","hetero",1,2,0
"envcpt","default","hetero",2,2,0
"envcpt","default","hetero",3,2,0
"envcpt","default","hetero",4,2,0
"envcpt","default","hetero",5,2,0
"envcpt","default","hetero",6,2,0
"envcpt","default","hetero",7,2,0
"envcpt","default","hetero",8,2,0
"envcpt","default","hetero",9,2,0
"envcpt","default","hetero",10,2,0
"fastcpd","default","iid",1,2,0
"fastcpd","default","iid",2,2,0
"fastcpd","default","iid",3,2,0
"fastcpd","default","iid",4,2,0
"fastcpd","default","iid",5,2,0
"fastcpd","default","iid",6,2,0
"fastcpd","default","iid",7,2,0
"fastcpd","default","iid",8,2,0
"fastcpd","default","iid",9,2,0
"fastcpd","default","iid",10,2,0
"fastcpd","default","heavy",1,2,0
"fastcpd","default","heavy",2,2,1
"fastcpd","default","heavy",3,2,0
"fastcpd","default","heavy",4,2,0
"fastcpd","default","heavy",5,2,2
"fastcpd","default","heavy",6,2,0
"fastcpd","default","heavy",7,2,1
"fastcpd","default","heavy",8,2,1
"fastcpd","default","heavy",9,2,1
"fastcpd","default","heavy",10,2,0
"fastcpd","default","ar1",1,2,3
"fastcpd","default","ar1",2,2,6
"fastcpd","default","ar1",3,2,4
"fastcpd","default","ar1",4,2,2
"fastcpd","default","ar1",5,2,3
"fastcpd","default","ar1",6,2,6
"fastcpd","default","ar1",7,2,5
"fastcpd","default","ar1",8,2,4
"fastcpd","default","ar1",9,1,5
"fastcpd","default","ar1",10,1,8
"fastcpd","default","hetero",1,2,0
"fastcpd","default","hetero",2,2,0
"fastcpd","default","hetero",3,2,0
"fastcpd","default","hetero",4,2,0
"fastcpd","default","hetero",5,2,0
"fastcpd","default","hetero",6,2,1
"fastcpd","default","hetero",7,2,0
"fastcpd","default","hetero",8,2,0
"fastcpd","default","hetero",9,2,0
"fastcpd","default","hetero",10,2,0
"fastcpd","family = ""ar""","iid",1,2,0
"fastcpd","family = ""ar""","iid",2,1,1
"fastcpd","family = ""ar""","iid",3,2,0
"fastcpd","family = ""ar""","iid",4,1,1
"fastcpd","family = ""ar""","iid",5,2,0
"fastcpd","family = ""ar""","iid",6,1,1
"fastcpd","family = ""ar""","iid",7,1,1
"fastcpd","family = ""ar""","iid",8,1,1
"fastcpd","family = ""ar""","iid",9,2,0
"fastcpd","family = ""ar""","iid",10,2,0
"fastcpd","family = ""ar""","heavy",1,1,0
"fastcpd","family = ""ar""","heavy",2,1,2
"fastcpd","family = ""ar""","heavy",3,1,1
"fastcpd","family = ""ar""","heavy",4,1,1
"fastcpd","family = ""ar""","heavy",5,1,1
"fastcpd","family = ""ar""","heavy",6,1,1
"fastcpd","family = ""ar""","heavy",7,2,0
"fastcpd","family = ""ar""","heavy",8,1,1
"fastcpd","family = ""ar""","heavy",9,2,1
"fastcpd","family = ""ar""","heavy",10,1,1
"fastcpd","family = ""ar""","ar1",1,1,0
"fastcpd","family = ""ar""","ar1",2,0,0
"fastcpd","family = ""ar""","ar1",3,1,0
"fastcpd","family = ""ar""","ar1",4,0,0
"fastcpd","family = ""ar""","ar1",5,0,0
"fastcpd","family = ""ar""","ar1",6,0,0
"fastcpd","family = ""ar""","ar1",7,0,0
"fastcpd","family = ""ar""","ar1",8,0,0
"fastcpd","family = ""ar""","ar1",9,0,0
"fastcpd","family = ""ar""","ar1",10,0,0
"fastcpd","family = ""ar""","hetero",1,2,0
"fastcpd","family = ""ar""","hetero",2,2,0
"fastcpd","family = ""ar""","hetero",3,2,0
"fastcpd","family = ""ar""","hetero",4,2,0
"fastcpd","family = ""ar""","hetero",5,2,0
"fastcpd","family = ""ar""","hetero",6,2,0
"fastcpd","family = ""ar""","hetero",7,1,1
"fastcpd","family = ""ar""","hetero",8,0,1
"fastcpd","family = ""ar""","hetero",9,2,0
"fastcpd","family = ""ar""","hetero",10,2,0
"nsp","default","iid",1,1,1
"nsp","default","iid",2,2,0
"nsp","default","iid",3,2,0
"nsp","default","iid",4,2,0
"nsp","default","iid",5,2,0
"nsp","default","iid",6,2,1
"nsp","default","iid",7,2,0
"nsp","default","iid",8,2,0
"nsp","default","iid",9,2,0
"nsp","default","iid",10,2,0
"nsp","default","heavy",1,2,5
"nsp","default","heavy",2,2,7
"nsp","default","heavy",3,2,4
"nsp","default","heavy",4,2,4
"nsp","default","heavy",5,2,7
"nsp","default","heavy",6,2,2
"nsp","default","heavy",7,2,7
"nsp","default","heavy",8,2,5
"nsp","default","heavy",9,2,7
"nsp","default","heavy",10,2,1
"nsp","default","ar1",1,2,8
"nsp","default","ar1",2,2,8
"nsp","default","ar1",3,2,12
"nsp","default","ar1",4,2,7
"nsp","default","ar1",5,2,12
"nsp","default","ar1",6,2,9
"nsp","default","ar1",7,2,9
"nsp","default","ar1",8,2,8
"nsp","default","ar1",9,1,14
"nsp","default","ar1",10,2,15
"nsp","default","hetero",1,2,11
"nsp","default","hetero",2,2,15
"nsp","default","hetero",3,2,8
"nsp","default","hetero",4,2,8
"nsp","default","hetero",5,2,11
"nsp","default","hetero",6,2,8
"nsp","default","hetero",7,2,10
"nsp","default","hetero",8,2,13
"nsp","default","hetero",9,2,13
"nsp","default","hetero",10,1,12
"nsp","variant = ""selfnorm""","iid",1,2,0
"nsp","variant = ""selfnorm""","iid",2,2,0
"nsp","variant = ""selfnorm""","iid",3,2,0
"nsp","variant = ""selfnorm""","iid",4,2,0
"nsp","variant = ""selfnorm""","iid",5,2,0
"nsp","variant = ""selfnorm""","iid",6,2,0
"nsp","variant = ""selfnorm""","iid",7,2,0
"nsp","variant = ""selfnorm""","iid",8,2,0
"nsp","variant = ""selfnorm""","iid",9,2,0
"nsp","variant = ""selfnorm""","iid",10,1,1
"nsp","variant = ""selfnorm""","heavy",1,2,0
"nsp","variant = ""selfnorm""","heavy",2,2,0
"nsp","variant = ""selfnorm""","heavy",3,2,0
"nsp","variant = ""selfnorm""","heavy",4,2,0
"nsp","variant = ""selfnorm""","heavy",5,2,0
"nsp","variant = ""selfnorm""","heavy",6,2,0
"nsp","variant = ""selfnorm""","heavy",7,2,0
"nsp","variant = ""selfnorm""","heavy",8,2,0
"nsp","variant = ""selfnorm""","heavy",9,2,0
"nsp","variant = ""selfnorm""","heavy",10,2,0
"nsp","variant = ""selfnorm""","ar1",1,1,1
"nsp","variant = ""selfnorm""","ar1",2,1,1
"nsp","variant = ""selfnorm""","ar1",3,1,1
"nsp","variant = ""selfnorm""","ar1",4,0,2
"nsp","variant = ""selfnorm""","ar1",5,1,1
"nsp","variant = ""selfnorm""","ar1",6,2,0
"nsp","variant = ""selfnorm""","ar1",7,1,1
"nsp","variant = ""selfnorm""","ar1",8,2,0
"nsp","variant = ""selfnorm""","ar1",9,2,0
"nsp","variant = ""selfnorm""","ar1",10,1,1
"nsp","variant = ""selfnorm""","hetero",1,2,0
"nsp","variant = ""selfnorm""","hetero",2,2,0
"nsp","variant = ""selfnorm""","hetero",3,2,0
"nsp","variant = ""selfnorm""","hetero",4,1,1
"nsp","variant = ""selfnorm""","hetero",5,2,0
"nsp","variant = ""selfnorm""","hetero",6,2,0
"nsp","variant = ""selfnorm""","hetero",7,2,0
"nsp","variant = ""selfnorm""","hetero",8,1,0
"nsp","variant = ""selfnorm""","hetero",9,1,1
"nsp","variant = ""selfnorm""","hetero",10,0,1
"nsp","variant = ""ar""","iid",1,0,0
"nsp","variant = ""ar""","iid",2,0,0
"nsp","variant = ""ar""","iid",3,0,0
"nsp","variant = ""ar""","iid",4,0,0
"nsp","variant = ""ar""","iid",5,0,0
"nsp","variant = ""ar""","iid",6,0,0
"nsp","variant = ""ar""","iid",7,1,0
"nsp","variant = ""ar""","iid",8,0,0
"nsp","variant = ""ar""","iid",9,0,0
"nsp","variant = ""ar""","iid",10,0,0
"nsp","variant = ""ar""","heavy",1,0,1
"nsp","variant = ""ar""","heavy",2,0,1
"nsp","variant = ""ar""","heavy",3,1,3
"nsp","variant = ""ar""","heavy",4,0,2
"nsp","variant = ""ar""","heavy",5,0,3
"nsp","variant = ""ar""","heavy",6,1,0
"nsp","variant = ""ar""","heavy",7,0,2
"nsp","variant = ""ar""","heavy",8,1,2
"nsp","variant = ""ar""","heavy",9,1,3
"nsp","variant = ""ar""","heavy",10,0,1
"nsp","variant = ""ar""","ar1",1,0,1
"nsp","variant = ""ar""","ar1",2,0,0
"nsp","variant = ""ar""","ar1",3,0,0
"nsp","variant = ""ar""","ar1",4,0,0
"nsp","variant = ""ar""","ar1",5,0,0
"nsp","variant = ""ar""","ar1",6,0,0
"nsp","variant = ""ar""","ar1",7,0,0
"nsp","variant = ""ar""","ar1",8,0,0
"nsp","variant = ""ar""","ar1",9,0,0
"nsp","variant = ""ar""","ar1",10,0,0
"nsp","variant = ""ar""","hetero",1,1,4
"nsp","variant = ""ar""","hetero",2,1,6
"nsp","variant = ""ar""","hetero",3,1,2
"nsp","variant = ""ar""","hetero",4,0,4
"nsp","variant = ""ar""","hetero",5,1,4
"nsp","variant = ""ar""","hetero",6,1,4
"nsp","variant = ""ar""","hetero",7,0,3
"nsp","variant = ""ar""","hetero",8,1,8
"nsp","variant = ""ar""","hetero",9,1,5
"nsp","variant = ""ar""","hetero",10,0,4
"wbsts","default","iid",1,0,0
"wbsts","default","iid",2,0,0
"wbsts","default","iid",3,0,0
"wbsts","default","iid",4,0,0
"wbsts","default","iid",5,0,0
"wbsts","default","iid",6,0,0
"wbsts","default","iid",7,0,0
"wbsts","default","iid",8,0,0
"wbsts","default","iid",9,0,0
"wbsts","default","iid",10,0,0
"wbsts","default","heavy",1,0,0
"wbsts","default","heavy",2,0,0
"wbsts","default","heavy",3,1,2
"wbsts","default","heavy",4,0,0
"wbsts","default","heavy",5,0,0
"wbsts","default","heavy",6,0,0
"wbsts","default","heavy",7,0,0
"wbsts","default","heavy",8,0,1
"wbsts","default","heavy",9,0,4
"wbsts","default","heavy",10,0,1
"wbsts","default","ar1",1,0,0
"wbsts","default","ar1",2,0,0
"wbsts","default","ar1",3,0,0
"wbsts","default","ar1",4,0,0
"wbsts","default","ar1",5,0,0
"wbsts","default","ar1",6,0,0
"wbsts","default","ar1",7,0,0
"wbsts","default","ar1",8,0,0
"wbsts","default","ar1",9,0,0
"wbsts","default","ar1",10,0,0
"wbsts","default","hetero",1,2,0
"wbsts","default","hetero",2,2,0
"wbsts","default","hetero",3,2,0
"wbsts","default","hetero",4,2,0
"wbsts","default","hetero",5,2,0
"wbsts","default","hetero",6,2,0
"wbsts","default","hetero",7,1,1
"wbsts","default","hetero",8,1,1
"wbsts","default","hetero",9,2,0
"wbsts","default","hetero",10,2,0
"bfast","default","iid",1,2,0
"bfast","default","iid",2,2,0
"bfast","default","iid",3,2,0
"bfast","default","iid",4,2,0
"bfast","default","iid",5,2,0
"bfast","default","iid",6,2,0
"bfast","default","iid",7,2,0
"bfast","default","iid",8,2,0
"bfast","default","iid",9,2,0
"bfast","default","iid",10,1,1
"bfast","default","heavy",1,2,0
"bfast","default","heavy",2,2,0
"bfast","default","heavy",3,2,0
"bfast","default","heavy",4,2,0
"bfast","default","heavy",5,2,0
"bfast","default","heavy",6,2,0
"bfast","default","heavy",7,2,0
"bfast","default","heavy",8,2,0
"bfast","default","heavy",9,2,0
"bfast","default","heavy",10,2,0
"bfast","default","ar1",1,2,3
"bfast","default","ar1",2,2,1
"bfast","default","ar1",3,2,1
"bfast","default","ar1",4,2,0
"bfast","default","ar1",5,2,0
"bfast","default","ar1",6,1,0
"bfast","default","ar1",7,2,0
"bfast","default","ar1",8,2,0
"bfast","default","ar1",9,1,2
"bfast","default","ar1",10,0,3
"bfast","default","hetero",1,2,0
"bfast","default","hetero",2,2,0
"bfast","default","hetero",3,2,1
"bfast","default","hetero",4,2,0
"bfast","default","hetero",5,2,0
"bfast","default","hetero",6,2,1
"bfast","default","hetero",7,2,0
"bfast","default","hetero",8,1,0
"bfast","default","hetero",9,1,1
"bfast","default","hetero",10,1,1
"pettitt","default","iid",1,1,0
"pettitt","default","iid",2,1,0
"pettitt","default","iid",3,1,0
"pettitt","default","iid",4,1,0
"pettitt","default","iid",5,1,0
"pettitt","default","iid",6,1,0
"pettitt","default","iid",7,1,0
"pettitt","default","iid",8,1,0
"pettitt","default","iid",9,1,0
"pettitt","default","iid",10,1,0
"pettitt","default","heavy",1,1,0
"pettitt","default","heavy",2,1,0
"pettitt","default","heavy",3,1,0
"pettitt","default","heavy",4,1,0
"pettitt","default","heavy",5,1,0
"pettitt","default","heavy",6,1,0
"pettitt","default","heavy",7,1,0
"pettitt","default","heavy",8,1,0
"pettitt","default","heavy",9,1,0
"pettitt","default","heavy",10,1,0
